음식명,식품코드,1인분칼로리(kcal),탄수화물(g),단백질(g),지방(g),콜레스트롤(g),식이섬유(g),나트륨(g)
옥수수튀밥,460,90,19.1,2.9,1,0,0.8,1
올리브,461,4,1,0.1,0.1,0,0.2,2
올리브유,462,37,0,0,4,0,0,0
완두콩,463,8,1.5,0.6,0,0,0.2,0
완자전,464,84,2.5,4.6,6.1,35.1,0.1,125
요구르트(액상),465,98,22.4,2.3,0.2,0,0,93
"요구르트(호상, 딸기)",466,109,17.7,3.5,3,12.1,0.1,58
요구르트음료,467,55,12.5,1.3,0.1,0,0,52
우거지국,468,30,3,3.1,0.9,5,0.5,542
우동,469,370,56.6,20.2,5.9,148.9,0.4,2321
우동국수(생면),470,177,36.8,4.4,0.5,0,0.2,192
우스터소스,471,4,0.9,0,0,0,0,84
우엉,472,10,2.3,0.5,0,0,0.2,1
우엉조림,473,44,8.6,1.4,1,0,0.7,246
우유,474,120,9.4,6.4,6.4,22,0,110
유부,475,48,4,4.6,2.2,0,0.5,1
유부초밥,476,463.4,81.3,16.5,8.2,0,1.6,444
유자차(분말),477,25,6.3,0,0,0,0.1,0
육개장,478,86,6.2,8.6,3.8,45.9,1.1,621
율무차(분말),479,60,11.5,1.1,1.1,0,0.1,59
은행,480,9,1.9,0.3,0.1,0,0,0
이온스포츠음료,481,63,15.8,0,0,0,0,100
인삼차(과립),482,28,6.8,0.1,0,0,0,2
인절미,483,109,22.4,2.5,0.9,0,0.2,174
임연수구이,484,102,0,10.3,6.3,35,0,197
임연수어,485,83,0,9.9,4.4,33.5,0,55
자장면,486,794,113.9,22.2,26,17.6,0.8,1131
자장소스,487,33,4.4,2.4,0.8,0,0.2,581
잔멸치볶음,488,16,0.8,1.5,0.7,3.8,0,56
잔치국수,489,638,118.7,22.5,6.6,135.6,1.6,3489
잡채,490,189.4,28.5,4.4,7,8.8,0.5,489
잡채밥,491,447.4,75.4,9.5,11,13.5,0.5,469
잣,492,20,0.3,0.4,2,0,0,0
장어(갯장어),493,156,0.1,15.7,9.5,60,0,52
장어양념구이,494,220,12.8,16.5,11.5,58.9,0.6,537
장조림,495,45,2.4,6.1,1.2,17.1,0,388
"재첩(재치조개,갱조개)",496,33,2,4.4,0.7,26.6,0,137
적포도주,497,84,5.8,0.2,0,0,0,7
전복,498,9,0.5,1.5,0.1,13.5,0,0
전복죽,499,184.6,32,5.1,3.4,25.9,0.1,276
전분,500,17,4.1,0,0,0,0,0
절편,501,110,21.9,2.2,0.4,0,0.1,93
제육(돼지고기),502,124,2.7,21.7,2.8,59.5,0.1,47
조개국,503,28,1.5,4.5,0.3,9.6,0,292
조기,504,42,0,8.2,0.8,39.2,0,70
조기구이,505,112,0,18.3,3.8,64.9,0,368
조기매운탕,506,80.1,5.4,12.6,1.4,40.1,0.9,690
조기찜,507,73,0.8,13.6,1.4,47.6,0.1,143
조기튀김,508,73.4,3,7.1,3.4,30,0,215
조미분,509,2,0.3,0.2,0,0,0,0
조미소,510,2,0.2,0.5,0,0,0,159
족발,511,165,0.3,15.5,11.6,60.8,0,76
주꾸미,512,23,0.2,4.9,0.2,135.5,0,0
죽순,513,3,0.5,0.7,0.1,0,0.3,2
중국국수(생면),514,393,78,12,1.7,0,0,574
쥐치(말린것),515,50,5.1,6.3,0.3,14.1,0,226
짬뽕,516,555,83.7,21.2,14.4,91.4,1.3,1592
쫄면,517,580.3,95.6,15.4,4.4,101.7,1.3,897
차조,518,23,4.6,0.6,0.3,0,0.1,0
차조밥,519,383.9,84.2,6.6,0.7,0,0.4,7
찰밥,520,387.9,85.3,7.1,0.4,0,0.5,5
찰옥수수,521,126,26.5,4.4,1.1,0,0.5,1
참기름,522,35,0,0,4,0,0,0
참나물,523,42.1,5.5,2.6,2.2,0,1.1,569
참나물,524,13,3,1.4,0.2,0,0.7,2
참외,525,25,10.5,3.1,0.6,0,7.6,14
참치찌개,526,83,1.6,5.2,6.1,9.7,0.3,397
찹쌀,527,56,12.3,1.1,0.1,0,0.1,0
찹쌀떡,528,165,35.3,3.4,1,0,0.4,113
청국장,529,31,0.5,3.5,1.5,0,0.5,1082
청국장찌개,530,79,2.5,8.5,4.2,2.4,0.9,1457
청주,531,48,1.9,0.3,0,0,0,1
청주,532,193,7.6,1.1,0,0,0,4
청포묵무침,533,33.4,0.6,1.2,1.9,15.4,0.1,212
초고추장,534,30,8.2,0.8,0,0,0.2,564
초코바,535,248,32,4.5,11.6,4.5,0,161
초코파이,536,153,22.3,1.5,6.6,14.7,0,73
초콜릿,537,98,13,2,9.2,16,0,23
추어탕,538,94.1,6.4,12,3,104.6,1.3,764
취나물,539,14,3.2,1.5,0.2,0,0.8,7
취나물,540,30,3.4,1.6,1.8,0,0.7,106
취나물(말린것),541,23,5.4,2.2,0.2,0,1.1,0
치즈,542,64,0.3,5.3,4.6,16,0,62
"치즈,가공치즈",543,62,1.1,3.7,4.8,16,0,227
"치즈,모짜렐라",544,32,1.9,2.6,1.5,2.1,0,98
치커리,545,1,0.3,0.2,0,0,0.1,0
카라멜,546,41,8,0.2,1.1,0.9,0,10
카레(분말),547,32,4.7,0.8,1.2,0,0.1,376
카레라이스,548,433.8,75,12.2,8.8,15.3,0.8,1180
카스테라,549,162,27.6,3.4,4.3,129,0.1,53
칼국수,550,425,94.5,13.4,2.6,4.3,0.6,3344
칼국수(반건),551,226,51.8,5.8,1.3,0,0.2,1591
캔커피,552,20,8.8,1.1,0.7,0,0,92
커피(분말크림),553,29,3.6,0.5,1.4,0,0,13
커피(설탕),554,19,4.4,0.4,0,0,0,1
"커피(설탕,분말크림)",555,40,6.6,0.5,1.4,0,0,13
"커피(원두,블랙)",556,6,1.1,0.3,0,0,0,2
커피믹스,557,54,9.2,0.6,1.8,0,0,16
커피분말,558,7,1.4,0.4,0,0,0,1
커피프림,559,33,3.4,0.2,2.1,0,0,18
케이크(생크림),560,317,41.9,3.8,15.7,6.5,0.4,122
케이크(초코릿),561,437,40.2,4.7,30.4,31.6,0.2,129
케이크(파운드),562,343,39.7,4.8,19.4,53.4,0.3,134
콜라,563,100,25,0,0,0,0,0
콩국수,564,738,111.3,40.6,16.3,0,4.5,2775
콩기름,565,35,0,0,4,0,0,0
콩나물,566,25,2.2,2.2,1.6,0,0.6,203
콩나물,567,12,1.4,2,0.5,0,0.4,2
콩나물국,568,18.2,2.3,2.6,0.6,1,0.6,319
콩나물밥,569,549.3,105.2,18,6.2,11.6,1.9,504
콩밥,570,383.3,80,8.8,2,0,0.7,7
콩비지,571,15,2.9,0.9,0.4,0,0.9,12
콩비지찌개,572,69,9,4.9,3,7.6,2.5,584
콩조림(콩자반),573,38,3.8,3,1.7,0,0.4,87
쿠키,574,140,20.7,1.8,5.6,21.3,0,105
크래커,575,175,20.6,2.5,9.7,0,0.1,222
크래커(샌드),576,172,20.6,3.1,8.5,0,0,307
크로켓,577,237,23.8,4.8,14.6,136,0.3,277
크림빵,578,288,47.8,6.3,8.1,70.4,0.2,168
키위,579,24,6.5,0.4,0.2,0,0.6,1
탕수육,580,230,19.9,8.9,11.5,66.2,0.4,276
토란,581,26,5.9,1.1,0.1,0,0.4,1
토란대(말린것),582,45,13.1,1.5,0.2,0,2.1,2
토마토,583,14,3.3,0.9,0.1,0,0.4,5
토마토주스,584,27,6.5,1.7,0.2,0,0.8,132
토마토케첩,585,6,1.6,0.1,0,0,0,49
토마토페이스트,586,16,3.9,0.7,0,0,0,38
톳,587,6,2.5,1,0.2,0,0.5,205
톳나물,588,32,7.7,1.6,0.9,0,0.7,928
파,589,3,0.7,0.2,0,0,0.1,0
파래,590,3,1.2,1,0,0,0.1,339
파래무침,591,43,4.3,1.6,3,0,0.4,721
파무침,592,50,3,1.5,4.2,0,0.7,114
파인애플,593,10,2.8,0.2,0,0,0.2,2
파전,594,109.2,14.3,3.2,4.1,35.2,0.3,197
팝콘,595,50,5.8,0.8,3.1,0,0.2,78
팥,596,34,6.8,1.9,0,0,0.5,0
팥밥,597,344.9,75.5,7.1,0.4,0,0.7,7
팥시루떡,598,195,41.4,5.4,0.8,0,0.8,200
팥죽,599,247.5,52.1,8.8,0.3,0,1.5,329
팽이버섯,600,3,0.6,0.3,0,0,0.1,1
포도,601,39,10.6,0.4,0.1,0,0.1,4
"포도,건포도",602,11,3,0.1,0,0,0,0
포도주스,603,110,29,0.6,0.4,0,0,2
표고버섯,604,3,0.6,0.2,0,0,0.1,1
표고버섯(말린것),605,8,1.9,0.5,0.1,0,0.2,1
풋고추,606,2,0.5,0.1,0.1,0,0,1
풋고추조림,607,11,0.8,0.5,0.1,3,0,112
풋마늘,608,4,0.9,0.4,0.1,0,0.1,1
피망,609,1,0.3,0,0,0,0.1,0
피자,610,390,43.6,17.5,17.3,31.5,0.4,577
함박스테이크,611,103.3,5.3,6.6,6.2,43.2,0.1,230
핫도그,612,124,9.2,5.3,7.4,22,0,342
해물탕,613,86.3,6,13.9,1.4,50.5,0.7,473
해삼,614,5,0.3,0.7,0.1,0,0,260
해파리,615,7,0.5,1,0.1,47.8,0,1200
햄버거,616,344,38.1,17,14.7,42,0.5,747
현미,617,42,9.3,0.9,0.3,0,0.3,9
현미밥,618,389.3,86,7.1,1.1,0,1.3,34
호두,619,98,0.4,2.3,10,0,0.4,1
호박(애호박),620,8,2.1,0.5,0,0,0.1,0
호박나물,621,32,3.6,0.9,2,0.1,0.3,182
호박전,622,76,6.2,2.9,4.5,70.6,0.2,214
호박죽,623,243.6,51.4,8.6,0.2,0,1.5,308
호빵,624,229,46.4,6.6,0.8,3.6,0.4,200
홍어,625,26,0,5.9,0.2,26.4,0,67
홍어회무침,626,44.4,4.3,5.7,0.8,23.1,0.4,283
홍차,627,72,17.5,0.2,0,0,0,5
홍차,628,3,0.3,0.3,0.2,0,0,3
홍차음료,629,64,16.6,0,0,0,0,4
홍합,630,14,0.8,1.9,0.2,9.8,0,52
홍합미역국,631,28,2.8,1.8,2.2,0.8,0.2,824
회덮밥,632,696.5,121.9,39.8,5.5,51.2,2.5,892
효모,633,0,0,0,0,0,0,0
후렌치후라이,634,367,47.2,4.4,19.7,0,4,223
후르츠샐러드(칵테일),635,29,7.7,0.1,0.2,0,0.2,1
후추,636,3,0.7,0.1,0,0,0.1,0
흑미밥,637,387.2,85,6.7,0.7,0,0.4,7
